
🔁 Fold 1/3 for GraphSAGE
[GraphSAGE][Fold 1] Epoch 5/50, Hidden=64, LR=0.001, Loss=1112596864.0000, Test AUC=0.5012
[GraphSAGE][Fold 1] Epoch 6/50, Hidden=64, LR=0.001, Loss=923477184.0000, Test AUC=0.5043
[GraphSAGE][Fold 1] Epoch 7/50, Hidden=64, LR=0.001, Loss=767632384.0000, Test AUC=0.5107
[GraphSAGE][Fold 1] Epoch 8/50, Hidden=64, LR=0.001, Loss=636450304.0000, Test AUC=0.5141
[GraphSAGE][Fold 1] Epoch 9/50, Hidden=64, LR=0.001, Loss=521084096.0000, Test AUC=0.5129
[GraphSAGE][Fold 1] Epoch 10/50, Hidden=64, LR=0.001, Loss=433545792.0000, Test AUC=0.5150
[GraphSAGE][Fold 1] Epoch 11/50, Hidden=64, LR=0.001, Loss=359025984.0000, Test AUC=0.5184
[GraphSAGE][Fold 1] Epoch 12/50, Hidden=64, LR=0.001, Loss=295884864.0000, Test AUC=0.5202
[GraphSAGE][Fold 1] Epoch 13/50, Hidden=64, LR=0.001, Loss=252494832.0000, Test AUC=0.5193
[GraphSAGE][Fold 1] Epoch 14/50, Hidden=64, LR=0.001, Loss=221742480.0000, Test AUC=0.5233
[GraphSAGE][Fold 1] Epoch 15/50, Hidden=64, LR=0.001, Loss=194033168.0000, Test AUC=0.5214
[GraphSAGE][Fold 1] Epoch 16/50, Hidden=64, LR=0.001, Loss=173802528.0000, Test AUC=0.5205
[GraphSAGE][Fold 1] Epoch 17/50, Hidden=64, LR=0.001, Loss=161732368.0000, Test AUC=0.5227
[GraphSAGE][Fold 1] Epoch 18/50, Hidden=64, LR=0.001, Loss=147180976.0000, Test AUC=0.5221
[GraphSAGE][Fold 1] Epoch 19/50, Hidden=64, LR=0.001, Loss=134778592.0000, Test AUC=0.5218
[GraphSAGE][Fold 1] Epoch 20/50, Hidden=64, LR=0.001, Loss=125867008.0000, Test AUC=0.5227
[GraphSAGE][Fold 1] Epoch 21/50, Hidden=64, LR=0.001, Loss=119211136.0000, Test AUC=0.5233
[GraphSAGE][Fold 1] Epoch 22/50, Hidden=64, LR=0.001, Loss=115584864.0000, Test AUC=0.5245
[GraphSAGE][Fold 1] Epoch 23/50, Hidden=64, LR=0.001, Loss=106538944.0000, Test AUC=0.5230
[GraphSAGE][Fold 1] Epoch 24/50, Hidden=64, LR=0.001, Loss=101629320.0000, Test AUC=0.5245
[GraphSAGE][Fold 1] Epoch 25/50, Hidden=64, LR=0.001, Loss=98349424.0000, Test AUC=0.5227
[GraphSAGE][Fold 1] Epoch 26/50, Hidden=64, LR=0.001, Loss=91470256.0000, Test AUC=0.5230
[GraphSAGE][Fold 1] Epoch 27/50, Hidden=64, LR=0.001, Loss=83395240.0000, Test AUC=0.5260
[GraphSAGE][Fold 1] Epoch 28/50, Hidden=64, LR=0.001, Loss=79674160.0000, Test AUC=0.5276
[GraphSAGE][Fold 1] Epoch 29/50, Hidden=64, LR=0.001, Loss=77854632.0000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 30/50, Hidden=64, LR=0.001, Loss=72518824.0000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 31/50, Hidden=64, LR=0.001, Loss=68064936.0000, Test AUC=0.5242
[GraphSAGE][Fold 1] Epoch 32/50, Hidden=64, LR=0.001, Loss=63253468.0000, Test AUC=0.5224
[GraphSAGE][Fold 1] Epoch 33/50, Hidden=64, LR=0.001, Loss=59202120.0000, Test AUC=0.5221
[GraphSAGE][Fold 1] Epoch 34/50, Hidden=64, LR=0.001, Loss=55457500.0000, Test AUC=0.5227
[GraphSAGE][Fold 1] Epoch 35/50, Hidden=64, LR=0.001, Loss=52527284.0000, Test AUC=0.5242
[GraphSAGE][Fold 1] Epoch 36/50, Hidden=64, LR=0.001, Loss=49376396.0000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 37/50, Hidden=64, LR=0.001, Loss=47222812.0000, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 38/50, Hidden=64, LR=0.001, Loss=42977012.0000, Test AUC=0.5325
[GraphSAGE][Fold 1] Epoch 39/50, Hidden=64, LR=0.001, Loss=40703556.0000, Test AUC=0.5331
[GraphSAGE][Fold 1] Epoch 40/50, Hidden=64, LR=0.001, Loss=39136772.0000, Test AUC=0.5358
[GraphSAGE][Fold 1] Epoch 41/50, Hidden=64, LR=0.001, Loss=38329596.0000, Test AUC=0.5389
[GraphSAGE][Fold 1] Epoch 42/50, Hidden=64, LR=0.001, Loss=36603068.0000, Test AUC=0.5380
[GraphSAGE][Fold 1] Epoch 43/50, Hidden=64, LR=0.001, Loss=34417304.0000, Test AUC=0.5395
[GraphSAGE][Fold 1] Epoch 44/50, Hidden=64, LR=0.001, Loss=33747116.0000, Test AUC=0.5380
[GraphSAGE][Fold 1] Epoch 45/50, Hidden=64, LR=0.001, Loss=32204206.0000, Test AUC=0.5417
[GraphSAGE][Fold 1] Epoch 46/50, Hidden=64, LR=0.001, Loss=30644720.0000, Test AUC=0.5435
[GraphSAGE][Fold 1] Epoch 47/50, Hidden=64, LR=0.001, Loss=29169622.0000, Test AUC=0.5444
[GraphSAGE][Fold 1] Epoch 48/50, Hidden=64, LR=0.001, Loss=28867426.0000, Test AUC=0.5456
[GraphSAGE][Fold 1] Epoch 49/50, Hidden=64, LR=0.001, Loss=27657898.0000, Test AUC=0.5450
[GraphSAGE][Fold 1] Epoch 50/50, Hidden=64, LR=0.001, Loss=27042516.0000, Test AUC=0.5450

🔁 Fold 2/3 for GraphSAGE
[GraphSAGE][Fold 2] Epoch 1/50, Hidden=32, LR=0.01, Loss=820120448.0000, Test AUC=0.5123
[GraphSAGE][Fold 2] Epoch 2/50, Hidden=32, LR=0.01, Loss=294544320.0000, Test AUC=0.5113
[GraphSAGE][Fold 2] Epoch 3/50, Hidden=32, LR=0.01, Loss=96464568.0000, Test AUC=0.5037
[GraphSAGE][Fold 2] Epoch 4/50, Hidden=32, LR=0.01, Loss=117249496.0000, Test AUC=0.5009
[GraphSAGE][Fold 2] Epoch 5/50, Hidden=32, LR=0.01, Loss=164202208.0000, Test AUC=0.5003
[GraphSAGE][Fold 2] Epoch 6/50, Hidden=32, LR=0.01, Loss=161045760.0000, Test AUC=0.5006
[GraphSAGE][Fold 2] Epoch 7/50, Hidden=32, LR=0.01, Loss=127922312.0000, Test AUC=0.5015
[GraphSAGE][Fold 2] Epoch 8/50, Hidden=32, LR=0.01, Loss=98607816.0000, Test AUC=0.5018
[GraphSAGE][Fold 2] Epoch 9/50, Hidden=32, LR=0.01, Loss=77993280.0000, Test AUC=0.5046
[GraphSAGE][Fold 2] Epoch 10/50, Hidden=32, LR=0.01, Loss=60363032.0000, Test AUC=0.5070
[GraphSAGE][Fold 2] Epoch 11/50, Hidden=32, LR=0.01, Loss=48247496.0000, Test AUC=0.5123
[GraphSAGE][Fold 2] Epoch 12/50, Hidden=32, LR=0.01, Loss=39526764.0000, Test AUC=0.5150
[GraphSAGE][Fold 2] Epoch 13/50, Hidden=32, LR=0.01, Loss=32701810.0000, Test AUC=0.5181
[GraphSAGE][Fold 2] Epoch 14/50, Hidden=32, LR=0.01, Loss=30430726.0000, Test AUC=0.5181
[GraphSAGE][Fold 2] Epoch 15/50, Hidden=32, LR=0.01, Loss=30291514.0000, Test AUC=0.5165
[GraphSAGE][Fold 2] Epoch 16/50, Hidden=32, LR=0.01, Loss=29835182.0000, Test AUC=0.5178
[GraphSAGE][Fold 2] Epoch 17/50, Hidden=32, LR=0.01, Loss=29046384.0000, Test AUC=0.5190
[GraphSAGE][Fold 2] Epoch 18/50, Hidden=32, LR=0.01, Loss=28357682.0000, Test AUC=0.5214
